Category,Sentence,Severity Level
"Trouble falling or staying asleep, or sleeping too much",মাঝে মাঝে মনে হয় আমি ঠিকমতো বিশ্রাম পাচ্ছি না।,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",সকালে উঠলেও মনে হয় ঘুম হয়নি।,Not Depressed
"Trouble falling or staying asleep, or sleeping too much"," দেরি করে শুয়ে দেরি করে উঠি, শরীর খারাপ লাগে।",Not Depressed
"Trouble falling or staying asleep, or sleeping too much",কয়েকদিন ধরে ঘুমের মান ভালো যাচ্ছে না।,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",রাত জাগার কারণে সকালটা খুব খারাপ লাগে।,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন ঘুমানোর সময় দেরি হয়।,Not Depressed
"Trouble falling or staying asleep, or sleeping too much","দিনে ঝিমুনি আসে, রাতে ঘুম হয় না।",Not Depressed
"Trouble falling or staying asleep, or sleeping too much",মাঝে মাঝে ঘুমাতে অনেক সময় লাগে।,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",সপ্তাহজুড়ে কয়েকদিন ঘুম ভালো হয় না।,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",কাজের চাপ ঘুম নষ্ট করে দিচ্ছে।,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",বিছানায় শুয়ে থেকেও চোখ বন্ধ করতে পারি না।,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুম ভাঙলে আবার ঘুমাতে পারি না।,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",মাঝে মাঝে মনে হয় আমি খুব বেশি ঘুমাচ্ছি।,Not Depressed
"Trouble falling or staying asleep, or sleeping too much","প্রতিদিন ঘুম আসতে দেরি হয়, শুয়ে থেকেও অনেকক্ষণ জেগে থাকি।",Depressed
"Trouble falling or staying asleep, or sleeping too much","প্রায় প্রতিরাতে ২–৩ বার ঘুম ভেঙে যায়, আবার ঘুমাতে কষ্ট হয়।",Depressed
"Trouble falling or staying asleep, or sleeping too much",গত কয়েক সপ্তাহ ধরে ৪ ঘণ্টার বেশি ঘুম হচ্ছে না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",সকালে উঠলেই মনে হয় সারারাত ঘুম হয়নি।,Depressed
"Trouble falling or staying asleep, or sleeping too much","দিনে প্রচণ্ড ঝিমুনি আসে, রাতে ঘুম আসে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন ঘুম কম হওয়ায় কাজের প্রতি আগ্রহ কমে যাচ্ছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much","কয়েক সপ্তাহ ধরে অতিরিক্ত ঘুমাচ্ছি, তবুও ক্লান্তি কাটছে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",একবার ঘুম ভাঙলে আর ঘুম আসতে অনেক সময় লাগে।,Depressed
"Trouble falling or staying asleep, or sleeping too much","বিছানায় শুয়ে ঘন্টার পর ঘন্টা কাটাই, ঘুম আসে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much","পড়াশোনায় মন বসে না, কারণ রাতে শান্তিতে ঘুম হয় না।",Depressed
"Trouble falling or staying asleep, or sleeping too much","প্রতিদিন মাথাব্যথা নিয়ে উঠি, ঘুম কম হওয়ার কারণে।",Depressed
"Trouble falling or staying asleep, or sleeping too much","রাতে টানা ঘুম হয় না, মাঝরাতে বারবার ঘুম ভেঙে যায়।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় শরীর দুর্বল হয়ে যাচ্ছে ঘুম ঠিক না হওয়ার জন্য।,Depressed
"Trouble falling or staying asleep, or sleeping too much","দিনে অতিরিক্ত ঘুমিয়ে ফেলি, ফলে কাজ ফেলে রাখতে হয়।",Depressed
"Trouble falling or staying asleep, or sleeping too much","ঘুমের কোনো নিয়ম নেই, কয়েকদিন ধরে এলোমেলো চলছে।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি যথেষ্ট ঘুম পাচ্ছি না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",কাজের চাপ না থাকলেও ঘুমাতে পারি না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুম কমে যাওয়ায় পরিবারেও বিরক্তি বেড়ে যাচ্ছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন ভোর হওয়ার আগে ঘুম ভেঙে যায়।,Depressed
"Trouble falling or staying asleep, or sleeping too much","রাতে একাধিকবার উঠে বসে থাকতে হয়, আবার ঘুম আসে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",কয়েক সপ্তাহ ধরে মনে হচ্ছে ঘুমের মান একেবারেই খারাপ।,Depressed
"Trouble falling or staying asleep, or sleeping too much",সকালে উঠলেই মনে হয় শরীর একেবারেই রিফ্রেশ হয়নি।,Depressed
"Trouble falling or staying asleep, or sleeping too much","কাজের জায়গায় ঘন ঘন হাই ওঠে, রাতে ভালো ঘুম হয় না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",অনেক সময় দিনে ঝিমুনি এসে কাজ বিঘ্নিত করে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",কয়েক সপ্তাহ ধরে ঘুম ভেঙে গিয়ে চুপচাপ বসে থাকি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",দুপুরে একটু ঘুমালে রাতে আর ঘুম আসে না।,Depressed
"Feeling down,Depressed, or hopeless",প্রতিদিন মনে হয় আমি ঘুমাতে ব্যর্থ হচ্ছি।,Depressed
"Feeling down,Depressed, or hopeless",কাজে মনোযোগ হারিয়ে ফেলছি ঘুমের সমস্যার কারণে।,Depressed
"Trouble falling or staying asleep, or sleeping too much","রাতে টানা ঘুম হয় না, ঘন ঘন স্বপ্ন দেখে জেগে উঠি।",Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুম কম হওয়ায় রাগ আর বিরক্তি বেড়ে গেছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",দিনে বারবার মনে হয় চোখ বন্ধ হয়ে আসছে।,Depressed
"Feeling down,Depressed, or hopeless"," পড়াশোনার সময় মাথা ঘুরে, কারণ আগের রাতে ঘুম হয়নি।",Depressed
"Trouble falling or staying asleep, or sleeping too much"," ঘুম কমে যাওয়ায় শরীর দুর্বল হয়ে যাচ্ছে, মনোযোগও নেই।",Depressed
"Trouble falling or staying asleep, or sleeping too much","রাতে ঘুম আসতে দেরি হয়, ভোর পর্যন্ত জেগে থাকি।",Depressed
"Feeling down,Depressed, or hopeless"," প্রতিদিন সকালে অ্যালার্ম বাজলেও উঠতে পারি না, কারণ ঘুম ঠিকমতো হয়নি।",Depressed
"Trouble falling or staying asleep, or sleeping too much",কয়েক সপ্তাহ ধরে স্বাভাবিক ঘুম পাচ্ছি না।,Depressed
"Trouble falling or staying asleep, or sleeping too much","সারাদিন ক্লান্ত লাগে, যদিও অনেক সময় বেশি ঘুম হয়ে যায়।",Depressed
"Trouble falling or staying asleep, or sleeping too much","রাতে চেষ্টা করলেও ঘুম আসে না, অকারণেই চোখ খোলা থাকে।",Depressed
"Trouble falling or staying asleep, or sleeping too much","মাঝে মাঝে ভোররাত পর্যন্ত ঘুম হয় না, পরদিন নষ্ট হয়ে যায়।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমার ঘুমের সমস্যা বেড়ে যাচ্ছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much", রাতে দেরি করে ঘুমালে সকালে কাজ করতে পারি না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুম কম হওয়ার কারণে শরীরের এনার্জি শেষ হয়ে গেছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much","দিনে ছোট ছোট কাজ করতেও কষ্ট লাগে, ঘুম কম হওয়ার জন্য।",Depressed
"Trouble falling or staying asleep, or sleeping too much",রাতে বারবার জেগে ওঠায় ঘুমের রুটিন ভেঙে যাচ্ছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",কয়েক সপ্তাহ ধরে মনে হচ্ছে আমি একেবারেই বিশ্রাম পাচ্ছি না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",রাতে ঘুম এলেও ভোরের দিকে উঠে বসে থাকি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুম কম হওয়ার কারণে মাথা সবসময় ভারি লাগে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন চেষ্টা করেও স্বাভাবিক ঘুম পাচ্ছি না।,Depressed
"Trouble falling or staying asleep, or sleeping too much","কাজ ফেলে ঘুমাচ্ছি, আবার রাতে ঘুম হচ্ছে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",গত কয়েক সপ্তাহ ধরে মনে হচ্ছে ঘুম আমার নিয়ন্ত্রণে নেই।,Depressed
"Trouble falling or staying asleep, or sleeping too much","প্রতিদিন রাতেই মনে হয় আমি ঘুমাতে পারব না, বিছানায় শুয়ে ঘন্টার পর ঘন্টা কাটাই।",Depressed
"Trouble falling or staying asleep, or sleeping too much","প্রায় প্রতিরাতেই একাধিকবার ঘুম ভেঙে যায়, তারপর আর ঘুম আসে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",গত কয়েক সপ্তাহ ধরে টানা ৩–৪ ঘণ্টার বেশি ঘুমাতে পারিনি।,Depressed
"Trouble falling or staying asleep, or sleeping too much","ভোর হওয়ার অনেক আগে থেকেই জেগে থাকি, আবার ঘুমাতে পারি না।",Depressed
"Trouble falling or staying asleep, or sleeping too much","প্রতিদিন সকালে ক্লান্ত হয়ে উঠি, মনে হয় ঘুমাইনি সারারাত।",Depressed
"Trouble falling or staying asleep, or sleeping too much"," দিনে বারবার ঝিমুনি আসে, কিন্তু রাতে শুয়ে থেকেও ঘুম আসে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much"," অতিরিক্ত ঘুমাই, তবুও ক্লান্তি যায় না—কাজে অংশ নিতে পারি না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় ঘুমের সমস্যা আমাকে ভেঙে ফেলছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much","রাতে ঘুম ভাঙার পর চুপচাপ বসে থাকি, আর ঘুম আসেই না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন ঘুম ঠিক না হওয়ার কারণে কাজ ফেলে রাখতে হয়।,Depressed
"Trouble falling or staying asleep, or sleeping too much","গত কয়েক সপ্তাহ ধরে রাতভর শুয়ে থেকেছি, ঘুম একদম হয়নি।",Depressed
"Trouble falling or staying asleep, or sleeping too much",একবার ঘুম আসলেও কয়েক মিনিট পর আবার ভেঙে যায়।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন রাতে মনে হয় আমি একেবারেই স্বাভাবিক ঘুম পাচ্ছি না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",অতিরিক্ত ঘুমের কারণে গুরুত্বপূর্ণ কাজ বাদ দিতে হচ্ছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",রাতে ঘুমের চেষ্টা করলেও ভেতরের দুশ্চিন্তা ঘুম আসতে দেয় না।,Depressed
"Trouble falling or staying asleep, or sleeping too much","প্রতিদিন কাজের জায়গায় মাথা ঘুরে, কারণ রাতে ঘুম হয়নি।",Depressed
"Trouble falling or staying asleep, or sleeping too much",একটানা কয়েকদিন ধরে দিনে ২–৩ ঘণ্টা ছাড়া আর ঘুম হয়নি,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি ঘুমের নিয়ন্ত্রণ হারিয়ে ফেলেছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much", রাতে ঘুম কম হওয়ায় দিনটা বিরক্তিকর লাগে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন সকালে চোখ লাল হয়ে থাকে ঘুম না হওয়ার জন্য।,Depressed
"Trouble falling or staying asleep, or sleeping too much","রাতে টানা ঘুম হয় না, মাঝখানে জেগে দীর্ঘসময় বসে থাকি।",Depressed
"Trouble falling or staying asleep, or sleeping too much","দিনে ঘুমিয়ে পড়ি, কিন্তু রাতে কোনোভাবেই ঘুম হয় না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি দিনরাত ঘুমের যন্ত্রণায় আটকে আছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much"," ঘুম না হওয়ার কারণে রাগ, কান্না আর হতাশা বেড়ে যাচ্ছে।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি নিজের জীবন সামলাতে পারছি না ঘুমের কারণে।,Depressed
"Trouble falling or staying asleep, or sleeping too much", টানা কয়েক রাত ধরে স্বপ্ন দেখে বারবার জেগে উঠি।,Depressed
"Trouble falling or staying asleep, or sleeping too much","ঘুমাতে গেলেই নানা দুশ্চিন্তা মাথায় আসে, আর সারা রাত জেগে থাকি।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন কাজের জায়গায় ঘুমে চোখ বন্ধ হয়ে আসে।,Depressed
"Trouble falling or staying asleep, or sleeping too much","পরিবার বলছে আমি অস্বাভাবিক ঘুমাচ্ছি, কিন্তু আমার কোনো নিয়ন্ত্রণ নেই।",Depressed
"Trouble falling or staying asleep, or sleeping too much","রাতে শুয়ে থাকলেও শরীর কাঁপে, ঘুম আসে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন সকালে মনে হয় আজকেও আমি বিশ্রাম পাইনি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",দিনে কাজ করতে বসলে অজান্তেই ঘুমিয়ে পড়ি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুম কম হওয়ার কারণে পড়াশোনায় পিছিয়ে যাচ্ছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমার মাথা কাজ করছে না ঘুম কম হওয়ার কারণে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",গত কয়েক সপ্তাহ ধরে মনে হচ্ছে আমি ভেঙে যাচ্ছি ঘুমের সমস্যায়।,Depressed
"Trouble falling or staying asleep, or sleeping too much", রাতে একটানা ঘুম হয়নি অনেকদিন।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন সকালে ওঠার পর মনে হয় আমি বাঁচতে পারব না এভাবে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",রাতে বারবার ঘুম ভেঙে গিয়ে মনে হয় পুরো দেহ ভেঙে পড়ছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much","দিনে বারবার মনে হয় ঘুমালেই ভালো লাগবে, কিন্তু রাতে পারি না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুমের সমস্যার কারণে সামাজিক অনুষ্ঠানেও যেতে পারি না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি সারাক্ষণ ঘুম ঘুম ভাবে আছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much","রাতে চোখ বন্ধ করলেই শুধু দুশ্চিন্তা আসে, ঘুম আসে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুমের সমস্যার কারণে প্রতিদিনের কাজ ঠিকমতো করতে পারি না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",কয়েক সপ্তাহ ধরে প্রতিরাতে ঘুম নিয়ে যুদ্ধ করছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much", প্রতিদিন মনে হয় আমার শরীর ধীরে ধীরে শেষ হয়ে যাচ্ছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুম কম হওয়ার কারণে পরিবারেও মনমালিন্য বেড়ে গেছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much"," প্রতিদিন রাতভর শুয়ে থেকেও ঘুম আসে না, মনে হয় শূন্যতায় ডুবে যাচ্ছি।",Depressed
"Trouble falling or staying asleep, or sleeping too much", দিনে অতিরিক্ত ঘুমিয়ে ঠিক মতন কাজ  করতে না পেরে নিজের ভেতর অনুশোচনায় শেষ হয়ে যাচ্ছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন ঘুম সমস্যার কারণে আমি আর কিছুতেই মনোযোগ দিতে পারি না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",মনে হয় ঘুমের এই সমস্যা আমাকে পুরোপুরি ভেঙে ফেলছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much","প্রতিদিন রাত ভর শুয়ে থাকি, এক মিনিটও শান্তিতে ঘুমাতে পারি না।",Depressed
"Feeling down,Depressed, or hopeless","টানা কয়েক সপ্তাহ ধরে ঘুম হয়নি, মনে হয় আমি ভেতর থেকে ভেঙে পড়ছি।",Depressed
"Trouble falling or staying asleep, or sleeping too much","প্রতিরাতে বারবার জেগে উঠি, তারপর আর কোনোভাবেই ঘুম আসে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much","দিনে ১২–১৪ ঘণ্টা ঘুমাই, তবুও ক্লান্তি যায় না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় ঘুমের সমস্যার কারণে আমি জীবনের সব নিয়ন্ত্রণ হারায় ফেলতেছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much"," বিছানায় শুয়ে রাতভর শুধু এপাশ–ওপাশ করি, ঘুম একেবারেই আসে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি সারাজীবন ঘুম থেকে বঞ্চিত হয়ে আছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much","রাতে একবারও টানা ঘুম হয় না, প্রতি ঘণ্টায় জেগে উঠি।",Depressed
"Trouble falling or staying asleep, or sleeping too much",অতিরিক্ত ঘুমানোর কারণে চাকরি হারানোর উপক্রম হয়েছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি দিনরাত ক্লান্তির মধ্যে আটকে আছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন ঘুম সমস্যা আমাকে অসহ্য যন্ত্রণায় ফেলছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুম না আসায় রাতের পর রাত ভোর হয়ে যাচ্ছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুমের সমস্যা এত বেশি যে এখন কাজ করার শক্তি নেই।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি শুধু ঘুমের জন্য লড়াই করছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",দিনে ঘুমিয়ে পড়ে সব কাজ নষ্ট হয়ে যাচ্ছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much","প্রতিদিন মাথা ভারি, চোখ জ্বলে, তবুও ঘুম আসছে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুম সমস্যা এতটাই বেড়েছে যে পরিবার বলছে আমি অস্বাভাবিক হয়ে গেছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় ঘুম আমার জীবনের সবচেয়ে বড় শত্রু হয়ে গেছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",টানা কয়েকদিন ধরে একেবারেই ঘুম হয়নি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",অতিরিক্ত ঘুমের কারণে গুরুত্বপূর্ণ মিটিং মিস করছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি মানসিকভাবে ভেঙে পড়ছি ঘুমের কারণে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুমের সমস্যা এতটা বেড়েছে যে আত্মবিশ্বাস একেবারে শেষ হয়ে গেছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন রাতে মনে হয় আমি আর কখনো ঘুমাতে পারব না।,Depressed
"Trouble falling or staying asleep, or sleeping too much", দিনের পর দিন অতিরিক্ত ঘুমিয়ে জীবন থেমে গেছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন ঘুম সমস্যা আমাকে একেবারে পঙ্গু করে দিয়েছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",রাতভর জেগে থেকে ভোরে ক্লান্ত শরীরে অফিস করতে যাই।,Depressed
"Trouble falling or staying asleep, or sleeping too much",অতিরিক্ত ঘুমানোর কারণে পড়াশোনার ক্ষতি অপূরণীয় হয়ে যাচ্ছে।,Depressed
"Feeling down,Depressed, or hopeless",প্রতিদিন আমি ঘুমের মাঝে ভয়াবহ দুঃস্বপ্ন দেখি। ,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুমের সমস্যা এতটাই ভয়াবহ যে শরীর আর মনের ভারসাম্য হারাচ্ছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন ঘুম না হওয়ার কারণে মনে হয় আমি ধ্বংস হয়ে যাচ্ছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",দিনে ঘুম এত বেশি হচ্ছে যে মানুষজন বলছে আমি অসুস্থ।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন রাতে মনে হয় আমার শরীর ঘুমের বিরুদ্ধে লড়াই করতিছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",রাতভর জেগে থেকে মনে হয় পৃথিবী থেকে বিচ্ছিন্ন হয়ে গেছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much", প্রতিদিন মনে হয় ঘুম সমস্যা আমাকে শেষ করে দিচ্ছে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুম না আসায় প্রতিদিন ভোরে কান্না করি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",অতিরিক্ত ঘুমানোর কারণে সামাজিক জীবন একেবারে আলাদা হয়ে গেছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি জীবনের কোনো কাজ করতে পারব না ঘুমের কারণে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুম সমস্যা এত বেশি যে মনে হয় আমি আর মানুষ হিসেবেও কাজ করছি না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন ঘুম না আসায় মনে হয় আমি জীবনের শেষ সীমায় চলে যাচ্ছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much", অতিরিক্ত ঘুমে পরিবার আমাকে কিছুতেই সামলাতে পারছে না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমার জীবনটা ঘুমের সমস্যার কারণে নষ্ট হয়ে যাবে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুমের সমস্যা এতটাই বেড়েছে যে আত্মহননের চিন্তাও মাথায় আসে।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি ঘুমের দাস হয়ে গেছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much","টানা কয়েক সপ্তাহ ধরে ঘুম একেবারেই হয়নি, জীবন থেমে গেছে।",Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় আমি ঘুম সমস্যার কারণে সবার বোঝা হয়ে গেছি।,Depressed
"Trouble falling or staying asleep, or sleeping too much","ঘুম সমস্যা এত ভয়াবহ যে কাজে মন বসে না, শরীর নড়াতে পারি না।",Depressed
"Trouble falling or staying asleep, or sleeping too much", প্রতিদিন ঘুম বঞ্চিত হয়ে অসহায় বোধ করি।,Depressed
"Trouble falling or staying asleep, or sleeping too much",অতিরিক্ত ঘুমের কারণে মনে হয় আমি বাস্তব জীবন থেকে আলাদা হয়ে যাচ্ছি। ,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন মনে হয় ঘুম সমস্যা আমাকে দিন দিন শেষের দিকে নিয়ে যাচ্ছে। ,Depressed
"Trouble falling or staying asleep, or sleeping too much","ঘুমের কারণে জীবনটা সম্পূর্ণ অচল হয়ে গেছে, কোনো আশা নেই।",Depressed
Feeling tired or having little energy,আজকে সকালটা একটু ক্লান্তি নিয়ে শুরু হলেও কাজ শেষ করতে কোনো সমস্যা হয়নি।,Not Depressed
Feeling tired or having little energy,"কয়েকদিন পড়াশোনার চাপ থাকলেও হালকা টায়ার্ডনেস ছিল, তবে সামলে নিয়েছি।",Not Depressed
Feeling tired or having little energy,"মাঝে মাঝে শরীর ভারী লাগে, কিন্তু অল্প বিশ্রামে ঠিক হয়ে যায়।",Not Depressed
Feeling tired or having little energy,"অফিস থেকে ফিরে অল্প ক্লান্ত লেগেছিল, তবে রাতের দিকে ভালো লাগছিল।",Not Depressed
Feeling tired or having little energy," সকালে উঠেই হালকা দূর্বল ফিল করেছি, কিন্তু কাজে মনোযোগ রাখতে পেরেছি।",Not Depressed
Feeling tired or having little energy," কাজের চাপ বাড়লে কিছুটা অলস লাগে, তবে ম্যানেজ করতে পারি।",Not Depressed
Feeling tired or having little energy,"প্রতিদিন শেষে শরীর ক্লান্ত লাগে, কিন্তু বিশ্রামের পর ঠিক হয়ে যায়।",Not Depressed
Feeling tired or having little energy,"বন্ধুদের সাথে আড্ডার পর একটু ক্লান্তি ফিল হয়, তবে enjoy করি।",Not Depressed
Little interest or pleasure in doing things,"মাঝে মাঝে শরীরটা দুর্বল মনে হয়, তবে সেটা দীর্ঘস্থায়ী নয়।",Not Depressed
Feeling tired or having little energy,"সারাদিন ব্যস্ত থাকার কারণে অল্প টায়ার্ড ছিলাম, কিন্তু ম্যানেজ করার মতন ছিল।",Not Depressed
Feeling tired or having little energy,গতকাল রাতের ঘুম কম হওয়ায় সকালে হালকা ক্লান্ত লাগছিল।,Not Depressed
Feeling tired or having little energy,"বাসার কাজ শেষে কিছুটা এনার্জি কমে যায়, তবে রেস্ট নিলে ঠিক হয়ে যায়।",Not Depressed
Feeling tired or having little energy," মাঝে মাঝে অফিস শেষে মাথা ভারি লাগে, কিন্তু কাজ চালানো যায়।",Not Depressed
Feeling tired or having little energy,"দুপুরের পর হালকা ক্লান্তি আসে, তবে চা খেয়ে সামলে নিই।",Not Depressed
Feeling tired or having little energy,"মাঝে মাঝে শরীর একটু ক্লান্ত লাগে, তবে পরের দিন ভালো হয়ে যায়।",Not Depressed
Feeling tired or having little energy,"সকালে ব্যায়ামের পর কিছুটা ক্লান্তি ফিল করি, কিন্তু স্বাভাবিক মনে হয়।",Not Depressed
Feeling tired or having little energy, নতুন কোনো কাজ শুরু করলে মাঝে মাঝে এনার্জি কম লাগে।,Not Depressed
Feeling tired or having little energy,"লম্বা মিটিং শেষে একটু ক্লান্ত ছিলাম, তবে সমস্যা হয়নি।",Not Depressed
Feeling tired or having little energy,দুপুরে অল্প ঝিমুনি এলে কাজের মাঝে ছোট বিরতি নিই।,Not Depressed
Feeling tired or having little energy," মাঝে মাঝে শরীর হালকা ভারী লাগে, তবে সেটা তেমন গুরুতর নয়।",Not Depressed
Feeling tired or having little energy,"পড়াশোনার পর হালকা ক্লান্তি আসে, তবে ঠিক হয়ে যায়।",Not Depressed
Feeling tired or having little energy,"কয়েক ঘণ্টা কম্পিউটারে বসে থাকলে চোখ ভার হয়ে আসে, তবে সামলে নিতে পারি।",Not Depressed
Feeling tired or having little energy," সকালে উঠতে অলসতা হয়, তবে ওঠার পর কাজ ঠিকঠাক করি।",Not Depressed
Feeling tired or having little energy,"মাঝে মাঝে মনে হয় এনার্জি কম, কিন্তু সেটা বেশিক্ষণ হয় না।",Not Depressed
Feeling tired or having little energy,"ক্লাসের পর একটু ক্লান্তি আসে, তবে ক্লাস শেষে একটু হাটাহাটি করলে ভালো লাগে।",Not Depressed
Feeling tired or having little energy, ছুটির দিন ঘরের কাজ বেশি হলে হালকা টায়ার্ড ফিল হয়।,Not Depressed
